key,origin,class
English,English,British
German,German,Germanic
Latin,Latin,Latin
PIE,IndoEuropean,IndoEuropean
French,French,Latin
Dutch,Dutch,Germanic
ProtoGermanic,German,Germanic
Norse,Norse,Germanic
Frisian,Frisian,Germanic
Saxon,Saxon,Germanic
Gothic,Gothic,Germanic
Greek,Greek,Greek
Germanic,German,Germanic
American,American,American
US,American,American
Danish,Danish,Germanic
Italian,Italian,Latin
Spanish,Spanish,Latin
Swedish,Swedish,Germanic
Irish,Irish,British
Sanskrit,Sanskrit,IndoEuropean
Slavonic,Slavic,Slavic
Lithuanian,Lithuanian,IndoEuropean
Welsh,Welsh,British
IndoEuropean,IndoEuropean,IndoEuropean
England,English,British
AngloFrench,French,Latin
Russian,Russian,Slavic
Scandinavian,Norse,Germanic
Avestan,Persian,Middle Eastern
God,Christian,Latin
London,English,British
Persian,Persian,Middle Eastern
Roman,Latin,Latin
Scottish,Scottish,British
British,English,British
Celtic,Celtic,British
European,IndoEuropean,IndoEuropean
America,American,American
Norwegian,Norwegian,Germanic
Hittite,Hittite,Middle Eastern
Hebrew,Hebrew,Middle Eastern
Polish,Polish,Slavic
Arabic,Arabic,Middle Eastern
Frankish,Frankish,Germanic
Portuguese,Portuguese,Latin
AfricanAmerican,African American,American
Armenian,Armenian,Middle Eastern
Christmas,Christian,Latin
Romanic,Latin,Latin
AngloSaxon,German,Germanic
Breton,English,British
Christ,Christian,Latin
Europe,IndoEuropean,IndoEuropean
France,French,Latin
Greeks,Greek,Greek
Northumbrian,English,British
Pennsylvania,American,American
Slavic,Slavic,Slavic
Britain,English,British
Christian,Christian,Latin
Gaelic,Irish,British
Bible,Christian,Latin
Indian,Indian,IndoEuropean
Midlands,English,British
Native,American,American
States,American,American
Anglian,German,Germanic
Lat,Latin,Latin
ProtoItalic,Latin,Latin
Scotland,Scottish,British
Testament,Christian,Latin
Biblical,Christian,Latin
Chicago,American,American
Finnish,Finnish,IndoEuropean
Flemish,German,Germanic
India,Indian,IndoEuropean
Japanese,Japanese,East Asian
LORD,Christian,Latin
Lord,Christian,Latin
Philadelphia,American,American
Romans,Latin,Latin
Americans,American,American
Asia,East Asian,East Asian
BaltoSlavic,Slavic,Slavic
Chinese,Chinese,East Asian
Czech,Czech,Germanic
Greece,Greek,Greek
Ireland,Irish,British
Mary,Christian,Latin
African,African,African
Americanisms,American,American
Australia,Australian,Australian
California,American,American
Gaulish,Gaulish,Latin
Germans,German,Germanic
Hollywood,American,American
Holy,Christian,Latin
Icelandic,Icelandic,Germanic
Italic,Italian,Latin
Jersey,English,British
Ohio,American,American
Paris,French,Latin
Prussian,Prussian,Germanic
Rome,Latin,Latin
SerboCroatian,Slavic,Slavic
Spain,Spanish,Latin
Algonquian,Algonquian,American
AngloSaxons,German,Germanic
Arkansas,American,American
Bohemian,German,Germanic
Canterbury,English,British
China,Chinese,East Asian
Cornish,Cornish,British
Delaware,English,British
Hungarian,Hungarian,IndoEuropean
Indies,Indian,IndoEuropean
Jewish,Hebrew,Middle Eastern
KJV,Christian,Latin
Kent,English,British
Kentish,English,British
Malay,Malay,East Asian
Mandarin,Chinese,East Asian
Mercian,English,British
Nahuatl,American,American
Norman,French,Latin
Phoenician,Phoenician,Middle Eastern
Proverbs,Christian,Latin
Quaker,American,American
Romance,Latin,Latin
Russia,Slavic,Slavic
Scotch,Scottish,British
Semitic,Hebrew,Middle Eastern
Sussex,English,British
Swiss,Swiss,Germanic
Switzerland,Swiss,Germanic
Turkish,Turkish,Middle Eastern
Virginia,American,American
Washington,American,American
Zealand,Dutch,Germanic
Africa,African,African
AngloFrisian,German,Germanic
AngloLatin,Latin,Latin
Aramaic,Hebrew,Middle Eastern
Attic,Greek,Greek
Canaan,Hebrew,Middle Eastern
Catalan,Spanish,Latin
Cockney,Cockney,British
Columbia,American,American